date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
08:32:51	40846/40846	---M--	200	added ('OK')	text/html	date:Fri,%2009%20May%202008%2021:04:47%20GMT	http://www.coptic.org/language/phanidjoit.html	C:/Devel/Web%20Algo/CopticDocuments/Coptic%20Documents/www.coptic.org/language/phanidjoit.html	(from )
08:33:00	319542/319542	---M--	200	added ('OK')	application/pdf	date:Fri,%2009%20May%202008%2021:04:15%20GMT	http://www.coptic.org/language/overview.pdf	C:/Devel/Web%20Algo/CopticDocuments/Coptic%20Documents/www.coptic.org/language/overview.pdf	(from )
08:33:10	111222/111222	---M--	200	added ('OK')	application/pdf	date:Fri,%2009%20May%202008%2021:04:58%20GMT	http://www.coptic.org/language/pisentnotes.pdf	C:/Devel/Web%20Algo/CopticDocuments/Coptic%20Documents/www.coptic.org/language/pisentnotes.pdf	(from )
08:33:11	6762/6762	---M--	200	added ('OK')	text/html	date:Fri,%2009%20May%202008%2021:03:24%20GMT	http://www.coptic.org/language/michel.html	C:/Devel/Web%20Algo/CopticDocuments/Coptic%20Documents/www.coptic.org/language/michel.html	(from )
08:33:11	1907/1907	---M--	200	added ('OK')	text/html	date:Fri,%2009%20May%202008%2021:02:58%20GMT	http://www.coptic.org/language/Kimi.htm	C:/Devel/Web%20Algo/CopticDocuments/Coptic%20Documents/www.coptic.org/language/Kimi.htm	(from )
08:33:11	261733/261733	---M--	200	added ('OK')	application/pdf	date:Fri,%2009%20May%202008%2021:04:55%20GMT	http://www.coptic.org/language/pisent.pdf	C:/Devel/Web%20Algo/CopticDocuments/Coptic%20Documents/www.coptic.org/language/pisent.pdf	(from )
08:33:12	6472/6472	---M--	200	added ('OK')	text/html	date:Fri,%2009%20May%202008%2021:06:09%20GMT	http://www.coptic.org/language/rwmill.html	C:/Devel/Web%20Algo/CopticDocuments/Coptic%20Documents/www.coptic.org/language/rwmill.html	(from )
08:33:12	6283/6283	---M--	200	added ('OK')	text/html	date:Fri,%2009%20May%202008%2021:06:27%20GMT	http://www.coptic.org/language/Story.htm	C:/Devel/Web%20Algo/CopticDocuments/Coptic%20Documents/www.coptic.org/language/Story.htm	(from )
08:33:13	10672/10672	---M--	200	added ('OK')	text/html	date:Fri,%2009%20May%202008%2021:01:44%20GMT	http://www.coptic.org/language/Erphei.htm	C:/Devel/Web%20Algo/CopticDocuments/Coptic%20Documents/www.coptic.org/language/Erphei.htm	(from )
08:33:13	7658/7658	---M--	200	added ('OK')	text/html	date:Fri,%2009%20May%202008%2021:06:26%20GMT	http://www.coptic.org/language/soni.htm	C:/Devel/Web%20Algo/CopticDocuments/Coptic%20Documents/www.coptic.org/language/soni.htm	(from )
08:33:14	1553/1553	---M--	200	added ('OK')	text/html	date:Fri,%2009%20May%202008%2021:01:44%20GMT	http://www.coptic.org/language/etshoti.html	C:/Devel/Web%20Algo/CopticDocuments/Coptic%20Documents/www.coptic.org/language/etshoti.html	(from )
08:33:14	3695/3695	---M--	200	added ('OK')	text/html	date:Fri,%2009%20May%202008%2020:56:58%20GMT	http://www.coptic.org/language/dioscorus.html	C:/Devel/Web%20Algo/CopticDocuments/Coptic%20Documents/www.coptic.org/language/dioscorus.html	(from )
08:33:15	3480/3480	---M--	200	added ('OK')	text/html	date:Fri,%2009%20May%202008%2020:56:51%20GMT	http://www.coptic.org/language/cyril.html	C:/Devel/Web%20Algo/CopticDocuments/Coptic%20Documents/www.coptic.org/language/cyril.html	(from )
08:33:16	27723/27723	---M--	200	added ('OK')	text/html	date:Fri,%2009%20May%202008%2020:55:36%20GMT	http://www.coptic.org/language/bylla.html	C:/Devel/Web%20Algo/CopticDocuments/Coptic%20Documents/www.coptic.org/language/bylla.html	(from )
08:33:16	4171/4171	---M--	200	added ('OK')	text/html	date:Fri,%2009%20May%202008%2020:50:58%20GMT	http://www.coptic.org/language/Athanase.html	C:/Devel/Web%20Algo/CopticDocuments/Coptic%20Documents/www.coptic.org/language/Athanase.html	(from )
08:33:17	122910/122910	---M--	200	added ('OK')	text/html	date:Fri,%2009%20May%202008%2020:50:50%20GMT	http://www.coptic.org/language/Ant-Atha-Meet.html	C:/Devel/Web%20Algo/CopticDocuments/Coptic%20Documents/www.coptic.org/language/Ant-Atha-Meet.html	(from )
08:33:19	6366/6366	---M--	200	added ('OK')	text/html	date:Fri,%2009%20May%202008%2021:06:19%20GMT	http://www.coptic.org/language/Shnti.html	C:/Devel/Web%20Algo/CopticDocuments/Coptic%20Documents/www.coptic.org/language/Shnti.html	(from )
08:33:19	6131/6131	---M--	200	added ('OK')	text/html	date:Fri,%2009%20May%202008%2021:04:06%20GMT	http://www.coptic.org/language/othrs.html	C:/Devel/Web%20Algo/CopticDocuments/Coptic%20Documents/www.coptic.org/language/othrs.html	(from )
08:33:19	7335/7335	---M--	200	added ('OK')	text/html	date:Fri,%2009%20May%202008%2021:06:14%20GMT	http://www.coptic.org/language/schenute.html	C:/Devel/Web%20Algo/CopticDocuments/Coptic%20Documents/www.coptic.org/language/schenute.html	(from )
08:33:21	40179/40179	---M--	200	added ('OK')	text/html	date:Fri,%2009%20May%202008%2020:55:40%20GMT	http://www.coptic.org/language/cmclshenoute.htm	C:/Devel/Web%20Algo/CopticDocuments/Coptic%20Documents/www.coptic.org/language/cmclshenoute.htm	(from )
08:33:22	20682/20682	---M--	200	added ('OK')	text/html	date:Fri,%2009%20May%202008%2021:06:13%20GMT	http://www.coptic.org/language/sayings.html	C:/Devel/Web%20Algo/CopticDocuments/Coptic%20Documents/www.coptic.org/language/sayings.html	(from )
08:33:23	1287/1287	---M--	200	added ('OK')	text/html	date:Fri,%2009%20May%202008%2020:56:59%20GMT	http://www.coptic.org/language/emeperfiu.html	C:/Devel/Web%20Algo/CopticDocuments/Coptic%20Documents/www.coptic.org/language/emeperfiu.html	(from )
